nom,type,adresse,telephone,site_web,lat,lng,email_contact,statut,notes
1-2-3 Pizza,restaurant,26 Avenue Saint-Sylvestre 06100 Nice,+33 4 93 84 27 32,https://www.123pizzanice.com/,43.7253912,7.2488855,,,OSM
1847,restaurant,Nice,,https://le1847.fr,43.6974479,7.2668684,,,OSM
2.zero,bar,Nice,,,43.6985308,7.2770887,,,OSM
21 Paysans,restaurant,2 Rue Valperga 06000 Nice,+33 9 87 02 05 72,https://21paysans.com/,43.7043031,7.2707927,,,OSM
26 MLK,asso,Nice,+33 4 97 13 30 10,,43.6744011,7.2034682,,,OSM
3 Brasseurs,restaurant,Nice,,https://restaurants.3brasseurs.com/fr/3-brasseurs-nice,43.6962395,7.2700257,,,OSM
305 Vice Club,bar,Nice,,,43.6990336,7.2711428,,,OSM
7 Villermont,restaurant,Nice,,https://le-7-villermont-restaurant-nice.eatbu.com,43.7091017,7.2645472,,,OSM
A Buteghinna,restaurant,Nice,+33 4 93 92 28 22,https://www.abuteghinna.fr/,43.6973885,7.2746051,,,OSM
À l'infini,restaurant,Nice,+33 4 93 55 16 57,,43.7045381,7.2903142,,,OSM
À la Table Du Marche,restaurant,Nice,+33 4 93 78 43 77,https://www.alatabledumarche.com/,43.7102482,7.2586493,,,OSM
Académie Culinaire Escom,restaurant,32 Avenue d'Estienne d'Orves Nice,,,43.7002203,7.2501908,,,OSM
Acchiardo,restaurant,Nice,+33 4 93 85 51 16,https://eater.space/restaurant-acchiardo,43.6965124,7.2771436,,,OSM
Acqua & Farina,restaurant,Nice,,https://acquaefarinanice.eatbu.com/,43.6962949,7.2769935,,,OSM
African Queen,restaurant,Nice,,,43.7102148,7.3355936,,,OSM
Agora,bar,Nice,,,43.7047921,7.2626972,,,OSM
Akathor,bar,Nice,,https://akathorpub.eatbu.com,43.6955667,7.2739644,,,OSM
Akoya,restaurant,Nice,,,43.7090155,7.2646064,,,OSM
Al Capone,restaurant,Nice,,,43.6981154,7.2713533,,,OSM
Alfred Burger,restaurant,Nice,,https://alfredburger.com/,43.6982559,7.2778393,,,OSM
Alhambar,restaurant,Nice,,,43.7007235,7.2816243,,,OSM
Alhambar,bar,Nice,,,43.7007125,7.2814332,,,OSM
Alice and I,restaurant,Nice,,https://aliceandi.fr/,43.707227,7.2602677,,,OSM
Alliance française,bar,Nice,,https://af-nice.fr/fr,43.7052917,7.2694178,,,OSM
Allo Liban,restaurant,37 Boulevard Auguste Raynaud Nice,+33 4 83 45 86 05,https://allo-liban.com/fr,43.7132341,7.2585848,,,OSM
Alma Goût Méditerranée - Villefranche,restaurant,Nice,+33 4 93 88 36 26,https://www.privateaser.com/lieu/47789-alma,43.7049729,7.3128211,,,OSM
Alta,bar,Nice,,,43.6975649,7.2751014,,,OSM
Amande & Pistache,restaurant,Nice,,,43.7066619,7.2833186,,,OSM
Amazonia,bar,Nice,,,43.6963073,7.2634371,,,OSM
Ambrosia,restaurant,Port de plaisance 06310 Beaulieu-sur-Mer,+33 4 93 16 17 52,,43.7105434,7.3357628,,,OSM
Amélia,restaurant,Nice,+33 7 69 65 04 69,,43.6967495,7.2715843,,,OSM
Amethis,restaurant,455 Promenade des Anglais Nice,,,43.6674166,7.2141909,,,OSM
Amnésie,bar,Nice,,,43.695351,7.2654659,,,OSM
Amore,restaurant,Nice,+33 6 67 76 10 75,https://bistrot-de-la-mairie.eatbu.com,43.6958662,7.2718071,,,OSM
Amour,bar,Nice,+33 4 93 54 98 21,https://amour-patisserie-vegetale.com/,43.7004171,7.2746893,,,OSM
Anao Beach,restaurant,Avenue Fernand Dunan 06310 Nice,+33 4 93 54 07 89,https://anaoplage.fr/,43.7028557,7.3300749,,,OSM
Ancora,restaurant,1 Quai de la Corderie 06230 Villefranche-sur-Mer,+33 4 93 80 34 32,https://www.ancoravillefranche.fr/,43.6994878,7.3086526,,,OSM
Angea,bar,Nice,+33 4 93 80 92 69,,43.6959973,7.2766044,,,OSM
Angelo,restaurant,Nice,+33 4 97 03 89 83,https://boscolocollection.com/nice/en/angelo-terra-ditalia-restaurant/,43.6999596,7.2655034,,,OSM
AnimaNice La Costière,asso,Nice,,,43.713781,7.2304597,,,OSM
Annette,restaurant,Nice,,,43.6960993,7.2652942,,,OSM
Ao House,restaurant,Nice,+33 4 93 89 44 32,,43.7043853,7.285,,,OSM
Apopino,restaurant,Nice,+33 4 97 14 86 02,https://www.apopinorestaurant.com,43.6990484,7.2648501,,,OSM
apres l' match,bar,Nice,,,43.6780719,7.1905862,,,OSM
Apulia,restaurant,10 Rue Gioffredo Nice,,,43.7024426,7.2765561,,,OSM
Aradhana,restaurant,Nice,+33 4 92 04 94 17,https://aradhana.fr/,43.700132,7.2873523,,,OSM
Arito Sushi,restaurant,Nice,+33 4 93 31 13 11,https://www.arito-sushi.com/,43.7061973,7.2826537,,,OSM
Arkose Cantine,restaurant,Nice,,https://arkose.com/nice/cantine,43.7060772,7.193753,,,OSM
Armand,bar,Nice,+33 4 93 82 59 66,https://bakeronline.fr/fr-fr/armandzonepietonne,43.6962754,7.2633133,,,OSM
Armavir,restaurant,Nice,,https://armavir-nice.fr/fr,43.7037805,7.2810146,,,OSM
Aromate,restaurant,Nice,+33 4 93 62 98 24,https://laromate.fr,43.6992993,7.2699223,,,OSM
Art o Vivi,bar,Nice,+33 6 18 01 20 34,,43.6956739,7.2859955,,,OSM
Asia Cook,restaurant,Nice,,,43.7027141,7.2689728,,,OSM
Asia Food,restaurant,Nice,+33 7 68 88 13 33,https://www.asiafood79.com/,43.7001761,7.287358,,,OSM
Asia House,restaurant,Nice,,,43.7100035,7.2596314,,,OSM
Asia Libération,restaurant,Nice,,,43.7103122,7.2625857,,,OSM
Asia Sushi & Wok,restaurant,Nice,,,43.7105019,7.2560527,,,OSM
Asian Factory,restaurant,Nice,+33492042209,https://asianfactory.fr/,43.7009264,7.2830212,,,OSM
Asie Riviera,restaurant,Nice,+33493557863,https://www.nicetnl.fr/project/cafe-delfino/,43.7064314,7.2869232,,,OSM
Assalit,restaurant,24 Rue Assalit Nice,,,43.7058383,7.2665408,,,OSM
ASSOCIATION MC BIKE2WORK,asso,67 Avenue de Brancolar 06100 Nice,,,43.7200516,7.2664187,,,OSM
Atelier Alfred,bar,13 Rue Vernier Nice,,,43.7071687,7.2616734,,,OSM
Attimi,restaurant,Nice,+33 4 93 62 00 22,https://attimi.fr,43.6966341,7.2712472,,,OSM
Au Bureau,restaurant,Nice,+33 4 93 62 09 68,https://www.aubureau.fr/restaurant/?ville=Au%20Bureau%20Nice,43.6966419,7.2649819,,,OSM
Au Caboulot,bar,Nice,,,43.7086134,7.2841153,,,OSM
Au Coeur des Terroirs,bar,Nice,,https://www.aucoeurdesterroirs.com/,43.6991786,7.2677772,,,OSM
Au Fût,bar,Nice,+33 4 83 39 67 64,https://aufutetamesure.fr/bar/aufut-nice/,43.6962246,7.2770745,,,OSM
Au grill d'or,restaurant,Nice,,,43.7080533,7.2599731,,,OSM
Au petit libanais,restaurant,Nice,,,43.7074666,7.262717,,,OSM
Au Rendez-vous des Amis,restaurant,Nice,+33 4 93 84 49 66,,43.7438622,7.2650643,,,OSM
